# Wes Sander, MoltFire
pglib_opf_case588_sdet: AC-OPF objective 313139.782762 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
 66  186    90.0000    -7.6962
 67  187   607.8600    72.2900
 68  199    90.0000    37.4393
 69  205    61.7233    87.4003
 70  205     0.0000     0.0000
 71  206     0.0000     0.0000
 72  210     2.5000     3.9511
 73  222     0.0000    23.2102
 74  222     0.0000     0.0000
 75  226     0.0000     8.0778
 76  227    50.0000     2.6739
 77  230     0.0000    24.8060
 78  237     0.0000     0.0000
 79  237     0.0000     0.0000
 80  248     0.0000     0.0000
 81  271    16.5600     5.0226
 82  275    89.8400    27.4900
 83  278     9.7500     2.0204
 84  280     0.0000     0.0000
 85  280     0.0000     0.0000
 86  281    19.3000    -8.5500
 87  296   640.7850    12.3680
 88  296   343.1400    12.3680
 89  309     0.0000     0.0000
 90  309     0.0000     0.0000
 91  315     0.0000     0.0000
 92  315     0.0000     0.0000
 93  326    22.0000    15.7689
 94  352     0.0000     0.0000
 95  352     0.0000     0.0000
 96  353     0.0000     0.0000
 97  355     0.0000     0.0000
 98  355     0.0000     0.0000
 99  356     0.0000     0.0000
100  359     0.0000     0.0000
101  359     0.0000     0.0000
102  361    22.0905   -94.8144
103  361     4.7500    42.5342
104  361     0.0000     0.0000
105  362    64.8300    -7.3700
106  364     0.0000     0.0000
107  364     0.0000     0.0000
108  365     0.0000     0.0000
109  365     5.1300    -1.5200
110  366   131.2700   -26.6900
111  368    60.1700    57.9119
112  369     0.0000     0.0000
113  369     0.0000     0.0000
114  371     0.0000     0.0000
115  371     0.0000     0.0000
116  375     0.0000     0.0000
117  382     0.0000     0.0000
118  385    26.8900     3.7158
119  388     0.0000     0.0000
120  388     0.0000     0.0000
121  390   465.1400   -18.8518
122  395   214.4100   -34.7200
123  398     0.0000     0.0000
124  398     0.0000     0.0000
125  400     0.0000     0.0000
126  401     0.0000     0.0000
127  407     0.0000     0.0000
128  411   286.0000   -17.1727
129  414   431.1700   -53.1500
130  422    35.6900    18.4800
131  423    77.3288    65.8596
132  424    70.0000    54.4947
133  424     0.0000     0.0000
134  440    32.0000    39.8142
135  441     0.0000     0.0000
136  445     0.0000     0.0000
137  455     0.0000     0.0000
138  455     0.0000     0.0000
139  455    10.0000    21.2383
140  455    25.0000    21.9629
141  457     0.0000     0.0000
142  458     0.0000     0.0000
143  475   120.0000    27.1816
144  475   120.0000    27.1816
145  476   254.9900    35.5747
146  476     0.0000     0.0000
147  480     0.0000     0.0000
148  483     0.0000     0.0000
149  514     2.6400   -72.9338
150  545     0.0000     0.0000
151  545     0.0000     0.0000
152  545   240.0000   189.9999
153  546   240.0000    51.9425
154  546   240.0000    53.1761
155  547   353.7800    53.7785
156  547  1090.9900    53.7785
157  547   353.7800    53.7785
158  548   462.5000   106.9634
159  548   385.6891    87.8396
160  548   425.0000    87.8396
161  557   156.9500  -133.5400
162  560    91.6700    63.9955
163  560     0.0000     0.0000
164  570   240.0000   237.5000
165  574     0.0000   -76.0517
166  580   259.8900  -133.7457

bus  Vm[pu]  Va[deg]
   1  1.03989  -12.1895
   2  1.02701  -16.8453
   3  0.98142  -16.2313
   4  0.99271  -16.3207
   5  0.99263  -16.3243
   6  0.98254  -18.8857
   7  0.96554  -16.1888
   8  0.96543  -16.1914
   9  1.04701  -11.1983
  10  1.04697  -11.1962
  11  1.05206  -10.3206
  12  0.99345  -15.5621
  13  0.98345  -17.3606
  14  0.98346  -17.3563
  15  0.97323  -17.5146
  16  0.97324  -17.5172
  17  0.99280  -17.5009
  18  1.02560  -15.6251
  19  1.03096  -17.2375
  20  1.03070  -17.2253
  21  1.04243  -18.3639
  22  1.04120  -16.0424
  23  1.05149  -18.7111
  24  1.00007  -19.0240
  25  1.03803  -17.9409
  26  0.98220  -16.6343
  27  1.02647  -17.7922
  28  1.02645  -17.7852
  29  1.05343  -12.8071
  30  1.05187  -12.9773
  31  1.02584  -17.9760
  32  1.02613  -17.8184
  33  1.06134  -10.3164
  34  1.03689  -17.9739
  35  0.98110  -16.7520
  36  1.02701  -17.7158
  37  1.02629  -15.9842
  38  1.02674  -16.0080
  39  1.04933  -18.6936
  40  1.04896  -18.6918
  41  1.04903  -18.7011
  42  1.02790  -17.5950
  43  1.04686  -19.1895
  44  1.03035  -14.5947
  45  1.05243  -18.8244
  46  1.02641  -18.0470
  47  1.02869  -15.9195
  48  1.02958  -16.8086
  49  1.03760  -17.9740
  50  1.01156  -20.5706
  51  1.05889  -16.0103
  52  1.01799  -19.9051
  53  1.01788  -19.9363
  54  1.06732  -15.8619
  55  1.02618  -17.8102
  56  1.02665  -17.7667
  57  1.01260  -20.3840
  58  1.05772  -12.3182
  59  1.02624  -15.7783
  60  1.03132  -15.9103
  61  1.02849  -18.0485
  62  1.03696  -17.9645
  63  1.02800  -15.0238
  64  1.02812  -14.9612
  65  0.98841  -16.6177
  66  1.04837  -10.8898
  67  1.04656  -16.7926
  68  0.99538  -16.3049
  69  0.98137  -15.2797
  70  0.98142  -15.2857
  71  1.00930  -17.5764
  72  1.00648  -15.7833
  73  1.00643  -15.7908
  74  1.04471  -10.1924
  75  1.04494  -10.2051
  76  1.04818  -11.2861
  77  0.99839  -16.0764
  78  1.00058  -16.0140
  79  1.00057  -16.0152
  80  0.99368  -14.5795
  81  0.99370  -14.5764
  82  1.01873  -17.3072
  83  1.05117  -15.8071
  84  1.06845  -16.7104
  85  1.06824  -16.7197
  86  1.07709  -16.7516
  87  1.01723  -16.7662
  88  1.07767  -17.4390
  89  1.02731  -17.7148
  90  1.07985  -16.0991
  91  1.05983  -17.4780
  92  1.06563  -16.9751
  93  1.06563  -16.9714
  94  1.07222  -16.1264
  95  1.07275  -16.0388
  96  1.06554  -17.0238
  97  1.06531  -17.0004
  98  1.05742  -11.2819
  99  1.07856  -16.1968
 100  1.05882  -17.5791
 101  1.06581  -16.9703
 102  1.04654  -16.6931
 103  1.04949  -16.6647
 104  1.07669  -17.3386
 105  1.07647  -17.3205
 106  1.07647  -17.3375
 107  1.06635  -16.9168
 108  1.07431  -17.2711
 109  1.06173  -14.3063
 110  1.08019  -17.5723
 111  1.06647  -16.9981
 112  1.06333  -16.5153
 113  1.06622  -16.6771
 114  1.08128  -15.8393
 115  1.02966  -19.1141
 116  0.98835  -16.5560
 117  1.03596  -18.4712
 118  1.03585  -18.5013
 119  0.97654  -16.4426
 120  1.06536  -16.9936
 121  1.06569  -16.9735
 122  1.03067  -18.9337
 123  1.07069  -16.3771
 124  1.05951  -15.9964
 125  1.06692  -16.4763
 126  1.06866  -16.8550
 127  1.07863  -16.1881
 128  1.05917  -14.6880
 129  1.05930  -14.6461
 130  0.98503  -15.1060
 131  1.02963   -9.2824
 132  1.02957   -9.2781
 133  0.99281   -7.8813
 134  0.99248  -12.7055
 135  1.00072  -10.3521
 136  0.97203  -12.0465
 137  0.95302  -11.1054
 138  0.95279  -11.0950
 139  1.00061  -13.6605
 140  1.00505  -13.7466
 141  1.06005  -13.4544
 142  0.94950  -11.2373
 143  1.04921  -12.0829
 144  1.05752  -12.8495
 145  1.05708  -12.8794
 146  1.06241  -12.2625
 147  1.06262  -12.2453
 148  1.06282  -12.2398
 149  1.01011  -12.6981
 150  1.01474  -14.7619
 151  1.02696  -13.2564
 152  1.01486  -15.7210
 153  0.99805  -16.1850
 154  0.99807  -16.1843
 155  0.99834  -16.1557
 156  0.99811  -16.2427
 157  1.04618  -13.1721
 158  1.01576  -14.6193
 159  1.05017  -11.4833
 160  1.06069  -13.6971
 161  1.05048  -12.6498
 162  0.93225  -13.6150
 163  1.00156  -16.2390
 164  1.05761  -12.7889
 165  1.08379   -9.4234
 166  1.00459  -14.5386
 167  1.05948  -10.5980
 168  1.03623  -12.7841
 169  1.03344  -13.2087
 170  1.02215  -14.3788
 171  1.02261  -12.6019
 172  0.92581  -13.1880
 173  1.01021  -13.1994
 174  1.05955  -12.6041
 175  1.05690  -12.8914
 176  1.01131  -15.6586
 177  1.05942  -12.6042
 178  0.94818  -14.3102
 179  1.04979  -14.1210
 180  1.04271  -14.2325
 181  1.03478  -15.9697
 182  1.03478  -15.9697
 183  1.06495  -14.1697
 184  1.06493  -14.1766
 185  1.01862   -8.8609
 186  1.01863   -8.8563
 187  1.02493   -1.7300
 188  1.00882   -6.7182
 189  1.03289  -16.0888
 190  1.04849   -8.6720
 191  1.04875   -8.6543
 192  1.00917   -7.3479
 193  1.04206   -9.6466
 194  1.05869   -8.2478
 195  1.00768   -6.9766
 196  1.00772   -6.9845
 197  1.00776   -4.3566
 198  1.06975  -13.8268
 199  1.08734  -15.4945
 200  1.08734  -15.4945
 201  1.09017  -11.7520
 202  1.07584  -13.9241
 203  1.08793  -12.0130
 204  1.08266  -12.6091
 205  1.10000   -7.6113
 206  1.06461  -14.3396
 207  1.08755  -15.4020
 208  1.07835  -13.1331
 209  1.07855  -13.6197
 210  1.05926  -14.9547
 211  1.00719   -6.7130
 212  1.08220  -13.1869
 213  1.09084  -11.7187
 214  1.03928  -12.9250
 215  1.03928  -12.9250
 216  1.07824  -13.7783
 217  1.08818  -11.9938
 218  1.06606  -14.8964
 219  1.06044  -15.2019
 220  1.08493  -11.3489
 221  1.06003  -15.8217
 222  1.07315  -17.0144
 223  1.06966  -11.0863
 224  1.06962  -11.1065
 225  1.06761  -11.5871
 226  1.06790  -11.5527
 227  1.07774   -9.7019
 228  1.06109  -12.2863
 229  1.00924   -7.3482
 230  1.06076  -16.7861
 231  1.08777  -11.0073
 232  1.08231  -20.0742
 233  1.08317   -0.5261
 234  1.04864  -23.3270
 235  1.09957  -18.7604
 236  1.08005    1.4872
 237  1.10000  -13.5422
 238  1.08561  -10.2849
 239  1.07244  -21.0179
 240  1.06164  -19.7508
 241  1.09954  -18.3961
 242  1.08238    1.7718
 243  1.09494  -17.5357
 244  1.08317   -8.1091
 245  1.09479  -11.6684
 246  1.09960  -18.6908
 247  1.07187  -20.9601
 248  1.06396  -14.2110
 249  1.09378  -11.1912
 250  1.06456  -19.8393
 251  1.09949  -17.2915
 252  1.09733  -11.6496
 253  1.08548  -10.2431
 254  1.10000  -19.1052
 255  1.09556  -18.9604
 256  1.08436   -8.4210
 257  1.09463  -11.6877
 258  1.05908  -18.9409
 259  1.08013  -19.6753
 260  1.05189  -11.2728
 261  1.09962  -16.7999
 262  1.06561  -18.1009
 263  1.07940    1.4108
 264  1.07793  -20.2592
 265  1.08763   -2.4417
 266  1.09671  -11.7203
 267  1.09134  -14.8238
 268  1.08938   -5.7478
 269  1.08773  -11.0190
 270  1.06264  -19.7855
 271  1.06175  -13.8716
 272  1.09717  -13.5668
 273  1.06840  -16.9709
 274  1.08495   -7.6577
 275  1.08556   -9.2019
 276  1.08030  -19.7074
 277  1.09546  -17.5171
 278  1.09595  -12.6841
 279  1.09268  -18.0045
 280  1.10000  -13.5422
 281  1.04212  -14.3317
 282  1.09947  -17.4845
 283  1.06178  -19.7551
 284  1.08302  -20.2147
 285  1.08440    2.0164
 286  1.07341  -19.2221
 287  1.08382   -4.3656
 288  1.09395  -17.8353
 289  1.06202  -19.7631
 290  1.05599  -18.2734
 291  1.08583   -6.8364
 292  1.06811  -19.2595
 293  1.07476   -8.6589
 294  1.08029   -6.9031
 295  1.09189  -16.5078
 296  1.10000    2.7331
 297  1.09996  -19.0489
 298  1.08488   -7.5193
 299  1.07068  -17.9270
 300  1.05636  -22.5368
 301  1.08438   -0.9865
 302  1.08250   -8.8505
 303  1.09135  -14.1716
 304  1.09957  -18.9227
 305  1.06187  -19.7577
 306  1.08451   -1.6219
 307  1.05312  -17.9868
 308  1.09543  -19.0291
 309  1.09266   -9.5422
 310  1.10000  -13.5422
 311  1.08955   -6.5683
 312  1.07974    1.4484
 313  1.04539  -20.1268
 314  1.07894    1.3683
 315  1.10000  -13.5422
 316  1.09563  -18.7418
 317  1.08466   -9.5263
 318  1.06584  -18.1101
 319  1.06492  -17.4863
 320  1.09983  -16.7099
 321  1.08803  -16.4251
 322  1.09971  -17.0042
 323  1.09617  -18.3742
 324  1.10000  -13.5506
 325  1.09182  -11.5932
 326  1.09639  -17.4651
 327  1.08609   -6.4894
 328  1.08468   -9.5153
 329  1.06497  -17.7636
 330  1.04379  -19.1293
 331  1.08324  -19.5083
 332  1.08933  -16.4505
 333  1.04810  -23.3660
 334  1.06556  -19.6135
 335  1.07091  -18.8382
 336  1.05893   -9.9757
 337  1.09961  -18.6370
 338  1.07005  -17.3386
 339  1.09197  -11.5664
 340  1.09727  -11.6395
 341  1.09594  -18.4358
 342  1.09368  -17.8768
 343  1.08738  -16.5209
 344  1.08208  -20.0340
 345  1.08468   -8.2286
 346  1.04080  -19.2203
 347  1.06952  -18.9149
 348  1.09830  -17.3369
 349  1.09055  -14.2115
 350  1.07292  -16.7069
 351  1.05453  -17.9445
 352  1.07063   -7.2133
 353  1.07063   -7.2133
 354  1.08046   -8.1600
 355  1.05533   -3.0681
 356  1.05157  -10.5611
 357  1.07012  -11.0155
 358  1.06223   -9.9393
 359  1.05533   -3.0681
 360  1.07469  -10.4051
 361  0.99980   -8.4011
 362  1.04366  -14.4014
 363  1.05533   -3.0681
 364  1.07063   -7.2133
 365  1.06654  -15.1290
 366  1.06870  -10.6972
 367  1.07238   -9.0302
 368  1.09203   -7.8166
 369  1.07063   -7.2133
 370  1.05533   -3.0681
 371  1.05533   -3.0681
 372  1.07063   -7.2133
 373  1.05657  -11.1440
 374  1.05140  -12.7942
 375  1.07543   -9.7690
 376  1.02524  -17.3344
 377  1.05041  -13.0353
 378  1.05157  -10.5611
 379  1.07208  -14.3385
 380  1.07219  -11.8873
 381  1.07063   -7.2133
 382  1.05157  -10.5611
 383  1.06373   -7.4882
 384  1.09160   -8.0059
 385  1.10000   -6.6220
 386  1.04527  -11.4014
 387  1.05874  -11.1989
 388  1.07063   -7.2133
 389  1.04935  -13.6835
 390  1.07280   -5.3069
 391  1.07203  -13.3194
 392  1.07293  -11.1930
 393  1.06963  -11.3777
 394  1.07648  -12.1175
 395  1.05157  -10.5611
 396  1.07948  -11.7084
 397  1.06865  -13.3634
 398  1.05533   -3.0681
 399  1.06167  -13.5514
 400  1.07063   -7.2133
 401  1.05157  -10.5611
 402  1.07063   -7.2133
 403  1.09312   -7.6539
 404  1.09415   -7.3707
 405  1.06075  -11.2528
 406  1.06271  -11.2640
 407  1.07063   -7.2133
 408  1.07462  -10.5076
 409  1.07038  -11.0694
 410  1.05862  -12.5824
 411  1.05227   -3.0681
 412  1.09167  -14.7876
 413  1.07220  -11.1958
 414  1.07040   -9.0986
 415  1.08226  -10.8755
 416  1.07380  -11.1387
 417  1.07161  -11.6812
 418  1.06895  -13.5537
 419  1.05991  -13.4456
 420  1.05983  -13.4480
 421  1.06282  -11.1368
 422  1.06280  -11.1057
 423  1.06720  -13.1152
 424  1.06714  -13.0992
 425  1.07005  -15.8476
 426  1.07167  -15.5667
 427  1.07643  -11.5695
 428  1.06881  -15.3907
 429  1.06879  -15.3738
 430  1.05643  -17.6387
 431  1.05653  -17.6401
 432  1.06793  -15.7243
 433  1.07377  -12.1969
 434  1.05609  -17.6112
 435  1.05614  -17.6128
 436  1.04394  -18.9970
 437  1.04394  -18.9970
 438  1.04407  -18.9876
 439  1.07159  -12.5086
 440  1.06464  -13.3093
 441  1.06462  -13.3200
 442  1.07459  -11.8456
 443  1.07474  -11.8356
 444  1.07260  -12.3345
 445  1.07392  -12.0536
 446  1.07395  -12.0509
 447  1.07395  -12.0509
 448  1.07392  -12.0536
 449  1.07383  -12.1923
 450  1.07159  -12.5088
 451  1.05669  -17.1914
 452  1.05668  -17.1688
 453  1.07237  -14.5197
 454  1.07254  -14.5172
 455  1.04407  -19.0034
 456  1.06448  -13.3208
 457  1.06076  -13.4463
 458  1.06576  -15.3458
 459  1.07339  -12.2244
 460  1.07389  -12.0566
 461  1.07096  -15.3022
 462  1.07162  -14.6610
 463  1.07162  -14.6609
 464  1.05555  -17.5637
 465  1.05674  -17.3243
 466  1.06181  -13.4894
 467  1.06180  -13.4895
 468  1.07383  -12.1923
 469  1.06175  -14.0187
 470  1.05465  -18.2256
 471  1.05463  -18.2409
 472  1.07026  -12.9821
 473  1.07075  -12.9601
 474  1.07150  -12.5132
 475  1.07469  -14.0567
 476  1.07630  -11.5676
 477  1.06293  -13.4223
 478  1.06289  -13.4259
 479  1.05806  -17.6484
 480  1.05822  -17.6275
 481  1.05167  -17.7785
 482  1.05180  -17.7714
 483  1.06040  -16.1803
 484  1.06044  -16.2043
 485  1.07385  -11.9731
 486  1.07385  -11.9831
 487  1.05778  -16.9665
 488  1.05782  -16.9728
 489  1.05797  -17.6542
 490  1.05815  -17.6322
 491  1.06282  -13.4074
 492  1.06285  -13.4061
 493  1.06804  -15.6400
 494  1.06816  -15.6320
 495  1.05772  -16.9137
 496  1.05776  -16.9242
 497  1.07071  -14.8969
 498  1.07154  -14.8415
 499  1.07058  -12.7748
 500  1.07059  -12.7842
 501  1.07188  -12.4576
 502  1.07188  -12.4576
 503  1.07056  -14.8844
 504  1.07056  -14.9029
 505  1.06016  -16.3101
 506  1.06015  -16.3348
 507  1.06685  -15.1709
 508  1.06790  -12.7645
 509  1.06777  -12.7764
 510  1.06818  -12.7514
 511  1.06811  -12.7613
 512  1.07113  -14.5538
 513  1.07117  -14.5272
 514  1.04522  -18.5531
 515  1.07334  -12.2569
 516  1.07338  -12.2541
 517  1.07353  -12.2141
 518  1.06032  -13.6452
 519  1.06049  -13.6323
 520  1.04522  -18.5531
 521  1.07395  -12.0509
 522  1.07228  -12.3818
 523  1.07229  -12.3816
 524  1.05744  -17.6591
 525  1.05756  -17.6575
 526  1.05688  -17.6489
 527  1.05679  -17.6475
 528  1.05746  -17.6033
 529  1.05732  -17.5954
 530  1.05755  -17.6354
 531  1.05748  -17.6362
 532  1.04930  -19.2249
 533  1.06271  -13.4358
 534  1.06271  -13.4358
 535  1.06271  -13.4358
 536  1.05576   -4.7299
 537  1.06237   -2.9824
 538  1.03235   -9.7952
 539  1.03238   -9.8011
 540  1.03784   -9.0692
 541  1.03793   -9.0823
 542  1.04002   -5.4428
 543  1.04007   -5.4762
 544  1.00239  -10.9507
 545  1.06703   -4.5161
 546  1.06424   -2.7766
 547  1.02138    0.0000
 548  1.02132   -0.0190
 549  1.02279   -1.4942
 550  1.02443  -11.8267
 551  1.02453  -11.8351
 552  1.05019   -5.5816
 553  1.05013   -5.5829
 554  1.05295   -5.3260
 555  1.05290   -5.3124
 556  1.01067   -2.6779
 557  1.01059   -2.6779
 558  1.05976   -9.6524
 559  1.01801   -1.6128
 560  1.03704  -15.1807
 561  1.01142   -6.5181
 562  1.06265  -14.1377
 563  1.01194   -6.4485
 564  1.01192   -6.4530
 565  0.95119  -11.0508
 566  1.02472   -8.7690
 567  1.02433   -8.7550
 568  1.05374   -9.3559
 569  1.05391   -9.4797
 570  0.98115   -1.8602
 571  1.01226   -6.8427
 572  1.05318   -9.4536
 573  1.06334  -14.0887
 574  1.01414   -6.1771
 575  1.01459   -7.8659
 576  1.01480   -7.8950
 577  0.94983  -10.9336
 578  1.05733  -12.9499
 579  1.01426   -6.1775
 580  0.97993   -1.0903
 581  1.09331   -7.4218
 582  0.98246   -1.6950
 583  0.98270   -1.7214
 584  0.95992   -6.3788
 585  0.96993   -3.4352
 586  1.05332   -9.4406
 587  1.01107   -6.5774
 588  1.01107   -6.5768
